FIPS,State,County,Education_Percent
9110,CT,"Capitol Planning Region, Connecticut",41.48887847
9120,CT,"Greater Bridgeport Planning Region, Connecticut",41.65763248
9130,CT,"Lower Connecticut River Valley Planning Region, Connecticut",45.45090612
9140,CT,"Naugatuck Valley Planning Region, Connecticut",33.78860261
9150,CT,"Northeastern Connecticut Planning Region, Connecticut",26.15902434
9160,CT,"Northwest Hills Planning Region, Connecticut",39.38992042
9170,CT,"South Central Connecticut Planning Region, Connecticut",41.07148706
9180,CT,"Southeastern Connecticut Planning Region, Connecticut",34.63708123
9190,CT,"Western Connecticut Planning Region, Connecticut",55.04583347
10000,DE,Delaware,35.27747515
10001,DE,Kent County,26.73821258
10003,DE,New Castle County,39.2211129
10005,DE,Sussex County,32.5661846
11000,DC,District of Columbia,63.56362225
11001,DC,District of Columbia,63.56362225
12000,FL,Florida,33.21029464
12001,FL,Alachua County,47.66993398
12003,FL,Baker County,15.33558108
12005,FL,Bay County,28.04132925
12007,FL,Bradford County,14.99431846
12009,FL,Brevard County,33.53988572
12011,FL,Broward County,35.79891533
12013,FL,Calhoun County,13.10074402
12015,FL,Charlotte County,25.31037541
12017,FL,Citrus County,20.40040387
12019,FL,Clay County,28.69454156
12021,FL,Collier County,39.54141632
12023,FL,Columbia County,16.34514063
12027,FL,DeSoto County,10.97870678
12029,FL,Dixie County,8.086400499
12031,FL,Duval County,33.0908046
12033,FL,Escambia County,28.92978714
12035,FL,Flagler County,30.43925075
12037,FL,Franklin County,25.28503683
12039,FL,Gadsden County,20.08236909
12041,FL,Gilchrist County,14.52152746
12043,FL,Glades County,12.70983213
12045,FL,Gulf County,24.48735475
12047,FL,Hamilton County,11.20592166
12049,FL,Hardee County,12.25428691
12051,FL,Hendry County,10.72913885
12053,FL,Hernando County,20.43796104
12055,FL,Highlands County,19.72793341
12057,FL,Hillsborough County,37.15522282
12059,FL,Holmes County,12.05115593
12061,FL,Indian River County,33.43323084
12063,FL,Jackson County,14.6448432
12065,FL,Jefferson County,18.84296012
12067,FL,Lafayette County,7.899216888
12069,FL,Lake County,26.78251197
12071,FL,Lee County,30.75932003
12073,FL,Leon County,48.58254115
12075,FL,Levy County,16.17534515
12077,FL,Liberty County,15.76363636
12079,FL,Madison County,12.49816742
12081,FL,Manatee County,34.34397545
12083,FL,Marion County,22.37578412
12085,FL,Martin County,36.63733284
12086,FL,Miami-Dade County,33.20621452
12087,FL,Monroe County,37.80058606
12089,FL,Nassau County,34.51724726
12091,FL,Okaloosa County,34.22132535
12093,FL,Okeechobee County,16.10202017
12095,FL,Orange County,38.40842509
12097,FL,Osceola County,28.25542831
12099,FL,Palm Beach County,39.55163728
12101,FL,Pasco County,28.03698255
12103,FL,Pinellas County,35.84493698
12105,FL,Polk County,22.64090849
12107,FL,Putnam County,14.09466765
12109,FL,St. Johns County,48.61000225
12111,FL,St. Lucie County,25.36970471
12113,FL,Santa Rosa County,30.97987559
12115,FL,Sarasota County,39.65769602
12117,FL,Seminole County,42.38489098
12119,FL,Sumter County,35.06630914
12121,FL,Suwannee County,16.43273179
12123,FL,Taylor County,15.05974059
12125,FL,Union County,10.00089373
12127,FL,Volusia County,27.18496115
12129,FL,Wakulla County,21.27617228
12131,FL,Walton County,34.22987484
12133,FL,Washington County,12.48585439
13000,GA,Georgia,34.20497004
13001,GA,Appling County,9.948709599
13003,GA,Atkinson County,9.815390239
13005,GA,Bacon County,11.02373068
13007,GA,Baker County,16.87804878
13009,GA,Baldwin County,24.12839362
13011,GA,Banks County,17.34147629
13013,GA,Barrow County,21.02218604
13015,GA,Bartow County,22.93848689
13017,GA,Ben Hill County,12.10797589
13019,GA,Berrien County,12.79778393
13021,GA,Bibb County,25.98713173
13023,GA,Bleckley County,18.28543112
13025,GA,Brantley County,10.89799477
13027,GA,Brooks County,13.56626296
13029,GA,Bryan County,34.63673831
13031,GA,Bulloch County,30.80114078
13033,GA,Burke County,14.26007819
13035,GA,Butts County,13.90271926
13037,GA,Calhoun County,12.14353612
13039,GA,Camden County,22.43317718
13043,GA,Candler County,13.63573883
13045,GA,Carroll County,22.43089962
13047,GA,Catoosa County,24.47093827
13049,GA,Charlton County,11.39710145
13051,GA,Chatham County,36.75391491
13053,GA,Chattahoochee County,27.58053139
13055,GA,Chattooga County,10.72692
13057,GA,Cherokee County,39.45306891
13059,GA,Clarke County,48.67085028
13061,GA,Clay County,22.55600815
13063,GA,Clayton County,21.34284805
13065,GA,Clinch County,13.02016302
13067,GA,Cobb County,50.38274926
13069,GA,Coffee County,13.50843625
13071,GA,Colquitt County,15.69647948
13073,GA,Columbia County,37.83581741
13075,GA,Cook County,16.74859551
13077,GA,Coweta County,34.65822785
13079,GA,Crawford County,14.01028278
13081,GA,Crisp County,15.51487083
13083,GA,Dade County,19.00884336
13085,GA,Dawson County,35.7547581
13087,GA,Decatur County,14.63666391
13089,GA,DeKalb County,46.74763068
13091,GA,Dodge County,15.23603654
13093,GA,Dooly County,13.38407494
13095,GA,Dougherty County,23.23826879
13097,GA,Douglas County,30.80470153
13099,GA,Early County,16.10508281
13101,GA,Echols County,14.40972222
13103,GA,Effingham County,26.79779986
13105,GA,Elbert County,14.85955257
13107,GA,Emanuel County,12.84211901
13109,GA,Evans County,15.09272468
13111,GA,Fannin County,22.59774023
13113,GA,Fayette County,48.09078418
13115,GA,Floyd County,24.9461256
13117,GA,Forsyth County,56.6030472
13119,GA,Franklin County,16.92659983
13121,GA,Fulton County,57.99513888
13123,GA,Gilmer County,22.73276904
13125,GA,Glascock County,14.86005089
13127,GA,Glynn County,30.44181746
13129,GA,Gordon County,17.65194622
13131,GA,Grady County,15.29438431
13133,GA,Greene County,36.42420496
13135,GA,Gwinnett County,38.72829859
13137,GA,Habersham County,24.24563591
13139,GA,Hall County,26.73172557
13141,GA,Hancock County,8.364903773
13143,GA,Haralson County,17.42503074
13145,GA,Harris County,34.65207632
13147,GA,Hart County,18.08362189
13149,GA,Heard County,11.36591479
13151,GA,Henry County,28.03661916
13153,GA,Houston County,32.25738934
13155,GA,Irwin County,16.62781663
13157,GA,Jackson County,27.30871198
13159,GA,Jasper County,19.85210466
13161,GA,Jeff Davis County,11.45768351
13163,GA,Jefferson County,11.18389822
13165,GA,Jenkins County,7.817243473
13167,GA,Johnson County,9.120187381
13169,GA,Jones County,18.40487707
13171,GA,Lamar County,19.51504756
13173,GA,Lanier County,19.05826255
13175,GA,Laurens County,17.81335252
13177,GA,Lee County,33.50669674
13179,GA,Liberty County,19.88305607
13181,GA,Lincoln County,16.14906832
13183,GA,Long County,12.82307972
13185,GA,Lowndes County,27.12481719
13187,GA,Lumpkin County,31.49473684
13189,GA,McDuffie County,17.84209811
13191,GA,McIntosh County,18.63389216
13193,GA,Macon County,10.99735419
13195,GA,Madison County,20.18357216
13197,GA,Marion County,13.62886976
13199,GA,Meriwether County,13.03699688
13201,GA,Miller County,21.91304348
13205,GA,Mitchell County,12.85980534
13207,GA,Monroe County,28.6825161
13209,GA,Montgomery County,20.23292195
13211,GA,Morgan County,30.13503427
13213,GA,Murray County,13.67259576
13215,GA,Muscogee County,29.73829528
13217,GA,Newton County,23.57639028
13219,GA,Oconee County,54.8601386
13221,GA,Oglethorpe County,24.54910756
13223,GA,Paulding County,27.4257012
13225,GA,Peach County,24.31665666
13227,GA,Pickens County,24.88170347
13229,GA,Pierce County,18.25337888
13231,GA,Pike County,21.41515812
13233,GA,Polk County,14.46935311
13235,GA,Pulaski County,12.00105042
13237,GA,Putnam County,28.27740222
13239,GA,Quitman County,8.952380952
13241,GA,Rabun County,29.9355328
13243,GA,Randolph County,15.01296253
13245,GA,Richmond County,24.06032159
13247,GA,Rockdale County,29.10319352
13249,GA,Schley County,19.03545193
13251,GA,Screven County,14.74420387
13253,GA,Seminole County,15.81526582
13255,GA,Spalding County,17.86704192
13257,GA,Stephens County,14.87913763
13259,GA,Stewart County,12.32634504
13261,GA,Sumter County,21.28132798
13263,GA,Talbot County,15.04687857
13265,GA,Taliaferro County,9.92248062
13267,GA,Tattnall County,14.64289916
13269,GA,Taylor County,18.1492751
13271,GA,Telfair County,10.0738271
13273,GA,Terrell County,11.53036437
13275,GA,Thomas County,23.63782051
13277,GA,Tift County,20.19230769
13279,GA,Toombs County,19.4735007
13281,GA,Towns County,32.84589426
13283,GA,Treutlen County,12.82173499
13285,GA,Troup County,22.47357249
13287,GA,Turner County,11.08382449
13289,GA,Twiggs County,10.91091091
13291,GA,Union County,25.71711667
13293,GA,Upson County,14.83004529
13295,GA,Walker County,20.07232152
13297,GA,Walton County,24.92196168
13299,GA,Ware County,15.01525019
13301,GA,Warren County,12.67379679
13303,GA,Washington County,17.47288813
13305,GA,Wayne County,14.01081502
13307,GA,Webster County,11.33603239
13309,GA,Wheeler County,12.21166893
13311,GA,White County,24.27324139
13313,GA,Whitfield County,19.34722243
13315,GA,Wilcox County,14.07942238
13317,GA,Wilkes County,15.74624752
13319,GA,Wilkinson County,12.68680962
13321,GA,Worth County,11.29343629
15000,HI,Hawaii,35.46966908
15001,HI,Hawaii County,30.90440361
15003,HI,Honolulu County,37.72299534
15005,HI,Kalawao County,32.55813953
15007,HI,Kauai County,30.23588816
15009,HI,Maui County,30.07366421
16000,ID,Idaho,31.18428634
16001,ID,Ada County,43.900882
16003,ID,Adams County,21.30325815
16005,ID,Bannock County,30.20585278
16007,ID,Bear Lake County,20.33224146
16009,ID,Benewah County,19.80464326
16011,ID,Bingham County,20.78720787
16013,ID,Blaine County,45.52859135
16015,ID,Boise County,29.94979605
16017,ID,Bonner County,28.93056341
16019,ID,Bonneville County,32.21352496
16021,ID,Boundary County,19.57587504
16023,ID,Butte County,13.81838691
16025,ID,Camas County,27.40841248
16027,ID,Canyon County,22.83043278
16029,ID,Caribou County,15.52401747
16031,ID,Cassia County,20.89871136
16033,ID,Clark County,17.29957806
16035,ID,Clearwater County,19.44992948
16037,ID,Custer County,25.19642373
16039,ID,Elmore County,21.20277146
16041,ID,Franklin County,21.47468569
16043,ID,Fremont County,21.75457481
16045,ID,Gem County,22.28034972
16047,ID,Gooding County,17.05028154
16049,ID,Idaho County,21.99842644
16051,ID,Jefferson County,27.18099306
16053,ID,Jerome County,13.36003151
16055,ID,Kootenai County,28.75957931
16057,ID,Latah County,44.89985633
16059,ID,Lemhi County,22.92011932
16061,ID,Lewis County,19.98494543
16063,ID,Lincoln County,11.62524993
16065,ID,Madison County,40.32043464
16067,ID,Minidoka County,16.83553598
16069,ID,Nez Perce County,26.75748402
16071,ID,Oneida County,26.17870096
16073,ID,Owyhee County,13.67895826
16075,ID,Payette County,19.63053766
16077,ID,Power County,16.67332268
16079,ID,Shoshone County,11.52945965
16081,ID,Teton County,48.25471698
16083,ID,Twin Falls County,23.0037959
16085,ID,Valley County,35.35642411
16087,ID,Washington County,19.03699816
17000,IL,Illinois,37.18549192
17001,IL,Adams County,26.9571378
17003,IL,Alexander County,12.55617978
17005,IL,Bond County,21.24079916
17007,IL,Boone County,23.2352028
17009,IL,Brown County,15.08037225
17011,IL,Bureau County,21.41825902
17013,IL,Calhoun County,18.37320574
17015,IL,Carroll County,18.15967994
17017,IL,Cass County,19.97698504
17019,IL,Champaign County,46.55708869
17021,IL,Christian County,16.54841488
17023,IL,Clark County,24.27247451
17025,IL,Clay County,15.57821653
17027,IL,Clinton County,24.44562374
17029,IL,Coles County,27.14431867
17031,IL,Cook County,41.94868973
17033,IL,Crawford County,20.63878439
17035,IL,Cumberland County,18.60240298
17037,IL,DeKalb County,32.67014839
17039,IL,De Witt County,21.36968928
17041,IL,Douglas County,20.19752714
17043,IL,DuPage County,51.44684929
17045,IL,Edgar County,20.14511658
17047,IL,Edwards County,13.91848078
17049,IL,Effingham County,26.00042167
17051,IL,Fayette County,16.61483491
17053,IL,Ford County,19.43846816
17055,IL,Franklin County,17.12315865
17057,IL,Fulton County,17.63906617
17059,IL,Gallatin County,15.30754244
17061,IL,Greene County,16.33112269
17063,IL,Grundy County,24.22340848
17065,IL,Hamilton County,18.49023091
17067,IL,Hancock County,24.18726651
17069,IL,Hardin County,12.18120805
17071,IL,Henderson County,19.23809524
17073,IL,Henry County,24.34138782
17075,IL,Iroquois County,16.73104397
17077,IL,Jackson County,35.05219469
17079,IL,Jasper County,20.56693884
17081,IL,Jefferson County,18.37319093
17083,IL,Jersey County,20.50751252
17085,IL,Jo Daviess County,28.76108865
17087,IL,Johnson County,18.81320949
17089,IL,Kane County,37.4790962
17091,IL,Kankakee County,20.38269782
17093,IL,Kendall County,36.44464426
17095,IL,Knox County,20.29594023
17097,IL,Lake County,46.95393034
17099,IL,La Salle County,18.74676401
17101,IL,Lawrence County,14.59728507
17103,IL,Lee County,19.35342072
17105,IL,Livingston County,18.47113513
17107,IL,Logan County,19.86832704
17109,IL,McDonough County,31.80431792
17111,IL,McHenry County,35.19117119
17113,IL,McLean County,46.87393559
17115,IL,Macon County,24.12657118
17117,IL,Macoupin County,18.77699193
17119,IL,Madison County,30.78407459
17121,IL,Marion County,17.28968346
17123,IL,Marshall County,18.71984939
17125,IL,Mason County,17.0697774
17127,IL,Massac County,16.27216005
17129,IL,Menard County,26.46135967
17131,IL,Mercer County,18.92934003
17133,IL,Monroe County,38.23104113
17135,IL,Montgomery County,18.20273114
17137,IL,Morgan County,23.25954861
17139,IL,Moultrie County,18.7847008
17141,IL,Ogle County,24.04140464
17143,IL,Peoria County,34.46672503
17145,IL,Perry County,12.26058718
17147,IL,Piatt County,31.88344949
17149,IL,Pike County,18.83816614
17151,IL,Pope County,16.84687827
17153,IL,Pulaski County,11.91885038
17155,IL,Putnam County,24.56437561
17157,IL,Randolph County,14.21038151
17159,IL,Richland County,18.86274151
17161,IL,Rock Island County,24.06398599
17163,IL,St. Clair County,30.74347719
17165,IL,Saline County,20.23487962
17167,IL,Sangamon County,35.11987891
17169,IL,Schuyler County,18.92863903
17171,IL,Scott County,22.22545878
17173,IL,Shelby County,17.59124088
17175,IL,Stark County,19.27138332
17177,IL,Stephenson County,21.73220825
17179,IL,Tazewell County,28.35369502
17181,IL,Union County,20.89540023
17183,IL,Vermilion County,16.2329394
17185,IL,Wabash County,18.70189841
17187,IL,Warren County,22.03045685
17189,IL,Washington County,24.40312913
17191,IL,Wayne County,16.20879121
17193,IL,White County,14.92355979
17195,IL,Whiteside County,20.07212777
17197,IL,Will County,36.45855835
17199,IL,Williamson County,27.45726718
17201,IL,Winnebago County,24.59591173
17203,IL,Woodford County,36.07936998
18000,IN,Indiana,28.80014143
18001,IN,Adams County,15.23181881
18003,IN,Allen County,31.13484038
18005,IN,Bartholomew County,35.38049781
18007,IN,Benton County,18.80414473
18009,IN,Blackford County,13.49196907
18011,IN,Boone County,50.48679579
18013,IN,Brown County,25.97994531
18015,IN,Carroll County,15.47206433
18017,IN,Cass County,15.64048396
18019,IN,Clark County,25.46146948
18021,IN,Clay County,17.00776288
18023,IN,Clinton County,16.71284339
18025,IN,Crawford County,11.14493713
18027,IN,Daviess County,15.11025887
18029,IN,Dearborn County,26.03731239
18031,IN,Decatur County,20.07640773
18033,IN,DeKalb County,20.14079264
18035,IN,Delaware County,25.69047789
18037,IN,Dubois County,24.31095406
18039,IN,Elkhart County,19.73180223
18041,IN,Fayette County,16.44087538
18043,IN,Floyd County,31.30816821
18045,IN,Fountain County,13.67462635
18047,IN,Franklin County,19.48708349
18049,IN,Fulton County,16.23998298
18051,IN,Gibson County,18.98649849
18053,IN,Grant County,20.38148012
18055,IN,Greene County,14.63636778
18057,IN,Hamilton County,61.83441579
18059,IN,Hancock County,34.19659037
18061,IN,Harrison County,22.00824332
18063,IN,Hendricks County,39.58417691
18065,IN,Henry County,16.69668125
18067,IN,Howard County,19.97961088
18069,IN,Huntington County,23.1142114
18071,IN,Jackson County,20.27441485
18073,IN,Jasper County,18.08259845
18075,IN,Jay County,12.68623361
18077,IN,Jefferson County,18.10274297
18079,IN,Jennings County,13.62563592
18081,IN,Johnson County,33.31461081
18083,IN,Knox County,17.78731128
18085,IN,Kosciusko County,24.62388645
18087,IN,LaGrange County,11.09291682
